Name,Code,Org_Latitude,Org_Longitude,Org_Altitude,Correct_Latitude,Correct_Longitude,Correct_Altitude,Latitude,Longitude,Altitude,AntennaHeight,Northing,Easting,Height,State,Satellite_Lock,Satellite_View,PDOP,HRMS,VRMS,Age,Date,Time,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Base_Distance,CompensationMode,InclineAngle,AzimuthAngle,Correct_n,Correct_e,Correct_h
13,,045d28m39.7074780000s,009d13m32.8587000000s,161.954,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7074780000s,009d13m32.8587000000s,159.938,2.016,5036043.450,517647.532,159.938,FIXED,27,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:48,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.304,0,0.00000000,270.00000000,0.000,0.000,0.000
14,,045d28m39.7072440000s,009d13m32.8588560000s,161.962,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7072440000s,009d13m32.8588560000s,159.946,2.016,5036043.443,517647.535,159.946,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:49,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.302,0,0.00000000,270.00000000,0.000,0.000,0.000
15,,045d28m39.7069740000s,009d13m32.8589160000s,161.964,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7069740000s,009d13m32.8589160000s,159.948,2.016,5036043.435,517647.537,159.948,FIXED,27,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:50,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.302,0,0.00000000,270.00000000,0.000,0.000,0.000
16,,045d28m39.7064280000s,009d13m32.8589700000s,161.964,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7064280000s,009d13m32.8589700000s,159.948,2.016,5036043.418,517647.538,159.948,FIXED,27,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:51,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.306,0,0.00000000,270.00000000,0.000,0.000,0.000
17,,045d28m39.7075140000s,009d13m32.8601100000s,161.961,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7075140000s,009d13m32.8601100000s,159.945,2.016,5036043.451,517647.563,159.945,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:52,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.274,0,0.00000000,270.00000000,0.000,0.000,0.000
18,,045d28m39.7082640000s,009d13m32.8588620000s,161.955,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7082640000s,009d13m32.8588620000s,159.939,2.016,5036043.475,517647.535,159.939,FIXED,27,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:53,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.294,0,0.00000000,270.00000000,0.000,0.000,0.000
19,,045d28m39.7084680000s,009d13m32.8608660000s,161.978,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7084680000s,009d13m32.8608660000s,159.962,2.016,5036043.481,517647.579,159.962,FIXED,27,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:54,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.248,0,0.00000000,270.00000000,0.000,0.000,0.000
20,,045d28m39.7080300000s,009d13m32.8606560000s,161.982,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7080300000s,009d13m32.8606560000s,159.966,2.016,5036043.467,517647.574,159.966,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:55,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.256,0,0.00000000,270.00000000,0.000,0.000,0.000
21,,045d28m39.7067520000s,009d13m32.8613400000s,161.984,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7067520000s,009d13m32.8613400000s,159.968,2.016,5036043.428,517647.589,159.968,FIXED,27,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:56,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.252,0,0.00000000,270.00000000,0.000,0.000,0.000
22,,045d28m39.7066500000s,009d13m32.8626960000s,161.983,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7066500000s,009d13m32.8626960000s,159.967,2.016,5036043.425,517647.619,159.967,FIXED,27,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:57,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.224,0,0.00000000,270.00000000,0.000,0.000,0.000
23,,045d28m39.7056480000s,009d13m32.8629300000s,161.979,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.7056480000s,009d13m32.8629300000s,159.963,2.016,5036043.394,517647.624,159.963,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:14:58,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,279.228,0,0.00000000,270.00000000,0.000,0.000,0.000
